Timestamp,Stock_code,Price,Changes,Volume,One_year_target
2024-03-07 21:17:58,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 21:18:00,FB,[],[],[],[]
2024-03-07 21:18:01,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 21:19:03,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 21:19:05,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 21:19:06,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 21:19:07,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 21:19:08,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 21:19:09,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 21:19:10,FB,[],[],[],[]
2024-03-07 21:19:11,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 21:20:12,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 21:20:13,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 21:20:15,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 21:20:17,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 21:20:18,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 21:20:19,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 21:20:20,FB,[],[],[],[]
2024-03-07 21:20:21,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 21:21:22,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 21:21:23,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 21:21:25,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 21:21:26,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 21:21:27,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 21:21:28,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 21:21:29,FB,[],[],[],[]
2024-03-07 21:21:30,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 21:22:31,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 21:22:32,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 21:22:33,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 21:22:35,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
